city;lat;lng;country;iso3
Stony Point;41.2593;-74.0112;United States;USA
Łapy;52.9833;22.8833;Poland;POL
Pattensen;52.2667;9.7667;Germany;DEU
Sozopol;42.4167;27.7;Bulgaria;BGR
Āfdem;9.4667;41;Ethiopia;ETH
Alexander City;32.9229;-85.9358;United States;USA
New Paltz;41.7577;-74.0883;United States;USA
Konina;12.4792;-6.1778;Mali;MLI
Araputanga;-15.4708;-58.3528;Brazil;BRA
Itamonte;-22.2833;-44.8833;Brazil;BRA
Fiadanana;-18.2167;46.8833;Madagascar;MDG
Lampa;-15.3636;-70.3656;Peru;PER
Bni Darkoul;35.0563;-5.0688;Morocco;MAR
Oulad Dahmane;36.3667;3.4667;Algeria;DZA
Armagh;54.3499;-6.6546;United Kingdom;GBR
Amasra;41.7494;32.3864;Turkey;TUR
Sanquelim;15.5027;73.7669;India;IND
Hilchenbach;50.9983;8.1094;Germany;DEU
Montmagny;48.9744;2.3467;France;FRA
Pontivy;48.0692;-2.9614;France;FRA
Sítio do Quinto;-10.3667;-38.2167;Brazil;BRA
Hanover;42.1224;-70.8566;United States;USA
Laterza;40.6333;16.8;Italy;ITA
Williamstown;39.6874;-74.9786;United States;USA
Tabatinga;-21.7167;-48.6875;Brazil;BRA
Washington;38.5515;-91.0154;United States;USA
Clarksdale;34.1933;-90.5693;United States;USA
Romsey;50.989;-1.4966;United Kingdom;GBR
Kamrāwān;25.6956;85.838;India;IND
Piney Green;34.7498;-77.3208;United States;USA
Adams;40.7092;-80.0118;United States;USA
Romilly-sur-Seine;48.5167;3.7275;France;FRA
Zítsa;39.75;20.65;Greece;GRC
Curtorim;15.28;74.03;India;IND
Harhorin;47.1972;102.8239;Mongolia;MNG
Hasanpur Juned;25.5915;85.5238;India;IND
Shlisselburg;59.9536;31.0383;Russia;RUS
Selb;50.1667;12.1333;Germany;DEU
Hudson;44.9639;-92.7312;United States;USA
Chitila;44.5083;25.9819;Romania;ROU
Lummen;50.9833;5.2;Belgium;BEL
Krasnogvardeyskoye;45.85;41.5167;Russia;RUS
Villers-lès-Nancy;48.6731;6.1547;France;FRA
Diankabou;14.5833;-3.0833;Mali;MLI
Bo’ness;56.0168;-3.6089;United Kingdom;GBR
Obanazawa;38.6;140.4;Japan;JPN
Tavares;-7.6358;-37.8778;Brazil;BRA
Cherupazhasshi;12.0916;75.4414;India;IND
Much;50.9167;7.4;Germany;DEU
Luduş;46.4778;24.0961;Romania;ROU
Cumpăna;44.1128;28.5558;Romania;ROU
Haubourdin;50.6097;2.9878;France;FRA
Hirono;40.4085;141.7187;Japan;JPN
Matungao;8.13;124.17;Philippines;PHL
Penrith;54.6648;-2.7548;United Kingdom;GBR
Maqat;47.65;53.3167;Kazakhstan;KAZ
Deming;32.2631;-107.7525;United States;USA
Tiltil;-33.0817;-70.9278;Chile;CHL
El Ateuf;32.4775;3.7478;Algeria;DZA
Vohipeno;-22.35;47.8333;Madagascar;MDG
Briniamaro;10.7411;2.0731;Benin;BEN
Balham;51.4434;-0.1525;United Kingdom;GBR
Pincourt;45.3833;-73.9833;Canada;CAN
Mozarlândia;-14.7406;-50.5519;Brazil;BRA
Teignmouth;50.5515;-3.4886;United Kingdom;GBR
Perunkolattūr;12.043;78.9174;India;IND
Sinmpérékou;11.2333;2.4167;Benin;BEN
